PLAYER,BASE_PRICE,WINNING_BID,url
Rishabh Pant,"2,00,00,000","₹27,00,00,000",https://i.pinimg.com/originals/6e/58/e4/6e58e462afd1f3438457c4dec512bd6c.png
Shreyas Iyer,"2,00,00,000","₹26,75,00,000",https://www.iplbetonline.in/wp-content/uploads/2023/04/1563-780x780.png
Venkatesh Iyer,"2,00,00,000","₹23,75,00,000",https://documents.iplt20.com/ipl/IPLHeadshot2024/584.png
Arshdeep Singh,"2,00,00,000","₹18,00,00,000",https://th.bing.com/th/id/OIP.p5vIS95bXWovX_pYrFF5hQHaHa?rs=1&pid=ImgDetMain
Yuzvendra Chahal,"2,00,00,000","₹18,00,00,000",https://www.iplbetonline.in/wp-content/uploads/2023/04/111.png
Jos  Buttler,"2,00,00,000","₹15,75,00,000",https://images.cricket.com/players/9782_headshot_safari.png
KL Rahul,"2,00,00,000","₹14,00,00,000",https://documents.iplt20.com/ipl/IPLHeadshot2023/19.png
Trent Boult,"2,00,00,000","₹12,50,00,000",https://celebs.infoseemedia.com/wp-content/uploads/2020/12/Trent-Boult.png?is-pending-load=1
Jofra Archer,"2,00,00,000","₹12,50,00,000",https://cf-cdn.newsbytesapp.com/sports/players/profile/jofra-archer.png
Josh Hazlewood,"2,00,00,000","₹12,50,00,000",
Mohammad Siraj,"2,00,00,000","₹12,25,00,000",
Mitchell Starc,"2,00,00,000","₹11,75,00,000",
Phil Salt,"2,00,00,000","₹11,50,00,000",
Ishan Kishan,"2,00,00,000","₹11,25,00,000",
Marcus Stoinis,"2,00,00,000","₹11,00,00,000",
Jitesh Sharma,"1,00,00,000","₹11,00,00,000",
T. Natarajan,"2,00,00,000","₹10,75,00,000",
Kagiso Rabada,"2,00,00,000","₹10,75,00,000",
Bhuvneshwar Kumar,"2,00,00,000","₹10,75,00,000",
Noor Ahmad,"2,00,00,000","₹10,00,00,000",
