PLAYER,BASE_PRICE,Capped/Uncapped
David Warner,"2,00,00,000",Capped
Jonny Bairstow,"2,00,00,000",Capped
Kane Williamson,"2,00,00,000",Capped
Daryl Mitchell,"2,00,00,000",Capped
Shardul Thakur,"2,00,00,000",Capped
Mujeeb Ur Rahman,"2,00,00,000",Capped
Adil Rashid,"2,00,00,000",Capped
Finn Allen,"2,00,00,000",Capped
Ben Duckett,"2,00,00,000",Capped
Rilee Rossouw,"2,00,00,000",Capped
James Vince,"2,00,00,000",Capped
Tom Banton,"2,00,00,000",Capped
Mustafizur Rahman,"2,00,00,000",Capped
Naveen  Ul Haq,"2,00,00,000",Capped
Umesh Yadav,"2,00,00,000",Capped
Tabraiz Shamsi,"2,00,00,000",Capped
Evin Lewis,"2,00,00,000",Capped
Steve Smith,"2,00,00,000",Capped
Gus Atkinson,"2,00,00,000",Capped
Tom Curran,"2,00,00,000",Capped
Matt Henry,"2,00,00,000",Capped
Alzarri Joseph,"2,00,00,000",Capped
Rassie Van Der Dussen,"2,00,00,000",Capped
Sean Abbott,"2,00,00,000",Capped
Adam Milne,"2,00,00,000",Capped
Jason Holder,"2,00,00,000",Capped
Chris Jordan,"2,00,00,000",Capped
Tymal Mills,"2,00,00,000",Capped
Akeal Hosein,"1,50,00,000",Capped
Sam Billings,"1,50,00,000",Capped
Mark Chapman,"1,50,00,000",Capped
Mohammad Nabi,"1,50,00,000",Capped
Tom Latham,"1,50,00,000",Capped
Kyle Mayers,"1,50,00,000",Capped
Jason Behrendorff,"1,50,00,000",Capped
Jhye Richardson,"1,50,00,000",Capped
Michael Bracewell,"1,50,00,000",Capped
William O'Rourke,"1,50,00,000",Capped
Jimmy Neesham,"1,50,00,000",Capped
Daniel Sams,"1,50,00,000",Capped
Riley Meredith,"1,50,00,000",Capped
Daniel Worrall,"1,50,00,000",Capped
Matthew Potts,"1,50,00,000",Capped
Tim Southee,"1,50,00,000",Capped
John Turner,"1,50,00,000",Capped
Kyle Jamieson,"1,50,00,000",Capped
Shai Hope,"1,25,00,000",Capped
Jordan Cox,"1,25,00,000",Capped
Tim Seifert,"1,25,00,000",Capped
Nandre Burger,"1,25,00,000",Capped
Sikandar Raza,"1,25,00,000",Capped
Will  Young,"1,25,00,000",Capped
Obed McCoy,"1,25,00,000",Capped
Lance Morris,"1,25,00,000",Capped
Ashton Agar,"1,25,00,000",Capped
James Anderson,"1,25,00,000",Capped
Dominic Drakes,"1,25,00,000",Capped
Matthew Forde,"1,25,00,000",Capped
Keemo Paul,"1,25,00,000",Capped
Mayank Agarawal,"1,00,00,000",Capped
Alex Carey,"1,00,00,000",Capped
Ashton Turner,"1,00,00,000",Capped
Krishnappa Gowtham,"1,00,00,000",Capped
Gulbadin Naib,"1,00,00,000",Capped
Taskin Ahmed,"1,00,00,000",Capped
Chris Green,"1,00,00,000",Capped
Shakib Al Hasan,"1,00,00,000",Capped
Mehidy Hasan Miraz,"1,00,00,000",Capped
Benjamin Sears,"1,00,00,000",Capped
Dan Lawrence,"1,00,00,000",Capped
Nathan Smith,"1,00,00,000",Capped
David Payne,"1,00,00,000",Capped
Wayne Parnell,"1,00,00,000",Capped
Waqar Salamkheil,"75,00,000",Capped
Prithvi Shaw,"75,00,000",Capped
K.S Bharat,"75,00,000",Capped
Keshav Maharaj,"75,00,000",Capped
Vijayakanth Viyaskanth,"75,00,000",Capped
Dewald Brevis,"75,00,000",Capped
Ben McDermott,"75,00,000",Capped
Kusal Mendis,"75,00,000",Capped
Kusal Perera,"75,00,000",Capped
Josh Philippe,"75,00,000",Capped
Rishad Hossain,"75,00,000",Capped
Zahir Khan Pakten,"75,00,000",Capped
Nqabayomzi Peter,"75,00,000",Capped
Tanveer Sangha,"75,00,000",Capped
Jeffery Vandersay,"75,00,000",Capped
Sediqullah Atal,"75,00,000",Capped
Brandon King,"75,00,000",Capped
Pathum Nissanka,"75,00,000",Capped
Bhanuka Rajapaksa,"75,00,000",Capped
Johnson Charles,"75,00,000",Capped
Litton Das,"75,00,000",Capped
Andre Fletcher,"75,00,000",Capped
Ollie Pope,"75,00,000",Capped
Kyle Verreynne,"75,00,000",Capped
Richard Gleeson,"75,00,000",Capped
Luke Wood,"75,00,000",Capped
Towhid Hridoy,"75,00,000",Capped
Mikyle Louis,"75,00,000",Capped
Harry Tector,"75,00,000",Capped
Najibullah Zadran,"75,00,000",Capped
Ibrahim Zadran,"75,00,000",Capped
Sarfaraz Khan,"75,00,000",Capped
Matthew Short,"75,00,000",Capped
Josh Little,"75,00,000",Capped
Shivam Mavi,"75,00,000",Capped
Navdeep Saini,"75,00,000",Capped
Qais Ahmad,"75,00,000",Capped
Charith Asalanka,"75,00,000",Capped
Gudakesh Motie,"75,00,000",Capped
Daniel Mousley,"75,00,000",Capped
Dunith Wellalage,"75,00,000",Capped
Ottneil Baartman,"75,00,000",Capped
Dilshan Madushanka,"75,00,000",Capped
Chetan Sakariya,"75,00,000",Capped
Sandeep Warrier,"75,00,000",Capped
Cooper Connolly,"75,00,000",Capped
Dushan Hemantha,"75,00,000",Capped
William Sutherland,"75,00,000",Capped
Ben Dwarshuis,"75,00,000",Capped
Olly Stone,"75,00,000",Capped
Zak Foulkes,"75,00,000",Capped
Wiaan Mulder,"75,00,000",Capped
Dwaine Pretorius,"75,00,000",Capped
Dasun Shanaka,"75,00,000",Capped
Shoriful Islam,"75,00,000",Capped
Blessing Muzarabani,"75,00,000",Capped
Tanzim Hasan Sakib,"75,00,000",Capped
Roston Chase,"75,00,000",Capped
Junior Dala,"75,00,000",Capped
Mahedi Hasan,"75,00,000",Capped
Nangeyalia Kharote,"75,00,000",Capped
Hasan Mahmud,"75,00,000",Capped
Nahid Rana,"75,00,000",Capped
Alick Athanaze,"75,00,000",Capped
Hilton Cartwright,"75,00,000",Capped
Daryn Dupavillon,"75,00,000",Capped
Patrick Kruger,"75,00,000",Capped
Lahiru Kumara,"75,00,000",Capped
Michael Neser,"75,00,000",Capped
Richard Ngarava,"75,00,000",Capped
Odean Smith,"75,00,000",Capped
Andrew Tye,"75,00,000",Capped
Piyush Chawla,"50,00,000",Uncapped
Tom Kohler-Cadmore,"50,00,000",Uncapped
Leus Du Plooy,"50,00,000",Uncapped
Michael Pepper,"50,00,000",Uncapped
Ben Howell,"50,00,000",Uncapped
Kartik Tyagi,"40,00,000",Uncapped
Shoun  Roger,"40,00,000",Uncapped
Siddharth Kaul,"40,00,000",Uncapped
Ajay Ahlawat,"40,00,000",Uncapped
Jalaj Saxena,"40,00,000",Uncapped
Yash Dhull,"30,00,000",Uncapped
Anmolpreet Singh,"30,00,000",Uncapped
Utkarsh Singh,"30,00,000",Uncapped
Upendra Singh Yadav,"30,00,000",Uncapped
Ricky Bhui,"30,00,000",Uncapped
Aarya Desai,"30,00,000",Uncapped
Madhav Kaushik,"30,00,000",Uncapped
Pukhraj Mann,"30,00,000",Uncapped
Mayank Dagar,"30,00,000",Uncapped
Suyash Prabhudessai,"30,00,000",Uncapped
Sanvir  Singh,"30,00,000",Uncapped
Avanish Aravelly,"30,00,000",Uncapped
Saurav Chauhan,"30,00,000",Uncapped
Harvik  Desai,"30,00,000",Uncapped
B.R Sharath,"30,00,000",Uncapped
Sakib Hussain,"30,00,000",Uncapped
Vidwath Kaverappa,"30,00,000",Uncapped
Rajan Kumar,"30,00,000",Uncapped
Sushant Mishra,"30,00,000",Uncapped
Prince Choudhary,"30,00,000",Uncapped
Himanshu Sharma,"30,00,000",Uncapped
Prashant Solanki,"30,00,000",Uncapped
Jhathavedh Subramanyan,"30,00,000",Uncapped
Priyam  Garg,"30,00,000",Uncapped
Smaran Ravichandran,"30,00,000",Uncapped
Shashwat Rawat,"30,00,000",Uncapped
Avneesh Sudha,"30,00,000",Uncapped
Apoorv Wankhade,"30,00,000",Uncapped
Rishi Dhawan,"30,00,000",Uncapped
Tanush Kotian,"30,00,000",Uncapped
Shams Mulani,"30,00,000",Uncapped
Shivam Singh,"30,00,000",Uncapped
Lalit Yadav,"30,00,000",Uncapped
Mohammed Azharuddeen,"30,00,000",Uncapped
L.R Chethan,"30,00,000",Uncapped
Aryaman Singh Dhaliwal,"30,00,000",Uncapped
Urvil Patel,"30,00,000",Uncapped
Sanskar Rawat,"30,00,000",Uncapped
Bipin  Saurabh,"30,00,000",Uncapped
Tanay Thyagarajann,"30,00,000",Uncapped
Money Grewal,"30,00,000",Uncapped
Ishan Porel,"30,00,000",Uncapped
Abhilash Shetty,"30,00,000",Uncapped
Basil Thampi,"30,00,000",Uncapped
Murugan Ashwin,"30,00,000",Uncapped
Shreyas Chavan,"30,00,000",Uncapped
Chintal Gandhi,"30,00,000",Uncapped
Raghav Goyal,"30,00,000",Uncapped
Jagadeesha Suchith,"30,00,000",Uncapped
Roshan Waghsare,"30,00,000",Uncapped
Bailapudi Yeswanth,"30,00,000",Uncapped
Sachin  Dhas,"30,00,000",Uncapped
Ashwin Hebbar,"30,00,000",Uncapped
Rohan  Kunnummal,"30,00,000",Uncapped
Ayush  Pandey,"30,00,000",Uncapped
Akshat Raghuwanshi,"30,00,000",Uncapped
Virat  Singh,"30,00,000",Uncapped
Prerak Mankad,"30,00,000",Uncapped
